id,riddle,location,qr_id
1,"Where waters mirror the sky and thoughts run deep, seek the clue where reflections sleep.",edc pond,726858
2,"A guarded castle where few may stride, find the hint near the gate with pride.",girls hostel,595440
3,"Near where “F” begins its tale, sit where stories never fail.",bench near f building,797405
4,"I never walk yet show every way—read the arrows that choose your day.",direction board near edc,743148
5,"Not the door of restless nights, but the glass that frames the lights.",boys hostel entrance window,237550
6,"Where doubts line up and answers are stamped, seek the desk where futures are camped.",student counter,982160
7,"Where hunger gathers but plates don’t yet meet, look just beyond where aromas greet.",outside canteen,826536
8,"Beneath what stands, where lost things wait, lies the answer delayed by fate.",lost and found,285737
9,"Not in front but where effort hides, turn around where support resides.",volunteers back,899595
10,"Neither his nor hers alone, where every sign stands neutral in tone.",unisex washroom,765467